Unnamed: 0,count,company,tod,used,old_date,date
26,538,wheels,  5:45:00,-2,1/11/2020 17:45,1/11/2020 17:45
27,540,wheels,  5:59:56,2,1/11/2020 17:59,1/11/2020 18:00
27,2327,birdla,  6:00:02,12,1/11/2020 18:00,1/11/2020 18:00
27,560,birdsm,  6:00:02,7,1/11/2020 18:00,1/11/2020 18:00
27,5328,lime,  5:59:59,6,1/11/2020 18:00,1/11/2020 18:00
27,304,spin,  6:00:02,-1,1/11/2020 18:00,1/11/2020 18:00
28,537,wheels,  6:15:53,-3,1/11/2020 18:15,1/11/2020 18:15
28,2330,birdla,  6:15:59,3,1/11/2020 18:15,1/11/2020 18:15
28,562,birdsm,  6:15:00,2,1/11/2020 18:15,1/11/2020 18:15
28,5332,lime,  6:15:56,4,1/11/2020 18:15,1/11/2020 18:15
28,304,spin,  6:15:00,0,1/11/2020 18:15,1/11/2020 18:15
29,569,birdsm,  6:29:57,7,1/11/2020 18:29,1/11/2020 18:30
29,531,wheels,  6:29:51,-6,1/11/2020 18:29,1/11/2020 18:30
29,2352,birdla,  6:29:57,22,1/11/2020 18:30,1/11/2020 18:30
29,5321,lime,  6:29:55,-11,1/11/2020 18:30,1/11/2020 18:30
29,304,spin,  6:29:57,0,1/11/2020 18:30,1/11/2020 18:30
30,553,birdsm,  6:44:55,-16,1/11/2020 18:44,1/11/2020 18:45
30,530,wheels,  6:44:48,-1,1/11/2020 18:44,1/11/2020 18:45
30,2342,birdla,  6:44:55,-10,1/11/2020 18:45,1/11/2020 18:45
30,5319,lime,  6:44:52,-2,1/11/2020 18:45,1/11/2020 18:45
30,302,spin,  6:44:55,-2,1/11/2020 18:45,1/11/2020 18:45
31,567,birdsm,  6:59:52,14,1/11/2020 18:59,1/11/2020 19:00
31,530,wheels,  6:59:47,0,1/11/2020 18:59,1/11/2020 19:00
31,2337,birdla,  6:59:52,-5,1/11/2020 19:00,1/11/2020 19:00
31,5312,lime,  6:59:49,-7,1/11/2020 19:00,1/11/2020 19:00
31,302,spin,  6:59:53,0,1/11/2020 19:00,1/11/2020 19:00
32,591,birdsm,  7:15:50,24,1/11/2020 19:15,1/11/2020 19:15
32,537,wheels,  7:15:44,7,1/11/2020 19:15,1/11/2020 19:15
32,2325,birdla,  7:15:49,-12,1/11/2020 19:15,1/11/2020 19:15
32,5316,lime,  7:15:47,4,1/11/2020 19:15,1/11/2020 19:15
32,302,spin,  7:15:50,0,1/11/2020 19:15,1/11/2020 19:15
33,594,birdsm,  7:29:46,3,1/11/2020 19:29,1/11/2020 19:30
33,557,wheels,  7:29:41,20,1/11/2020 19:29,1/11/2020 19:30
33,2307,birdla,  7:29:46,-18,1/11/2020 19:30,1/11/2020 19:30
33,5311,lime,  7:29:44,-5,1/11/2020 19:30,1/11/2020 19:30
33,300,spin,  7:29:46,-2,1/11/2020 19:30,1/11/2020 19:30
